element,filename,poly_coeffs,rms_nm
Hg,Mercurio.bmp,"-0.00115384127566,1.50982867597,110.16495741",20.31205625497623
Kr,Kripton.bmp,"0.000797930717114,-0.215392543348,594.0063744",10.385742932899692
Ne,Neon.bmp,"0.000269736509683,-0.0225812280092,561.101378041",17.10233373020362
He,Helio.bmp,"0.000414686131404,0.224574313374,367.134236302",21.495817377615236
